,region,"Трудящиеся, чел.","Число больниц, ед.","Дети до 16 лет, чел.","Бедность, %","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Среднедушевой доход, руб.мес./чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Продажа алкоголя, л.","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Валовый продукт, руб./чел.","Врожденные пороки развития, на 100тыс.чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
9,Воронежская область,69.2,0.033042948752746694,28.5,8.825,240638.25,2.3,74.80000000000001,527373.5773412057,30971.75,98.475,2.0051062084053104,2.953374468228454,5.0200499999999995,22.85,19.9,0.46748434291669094,0.5680000000000001,418233.225,95.26666666666665,0.9,8.466666666666667,54782.65,8.862483615310557,637.3666666666667
10,Еврейская автономная область,54.4,0.09930964281114564,34.8,23.875,155359.5,10.8,102.95,293866.35932401166,25756.25,99.3,3.4448032350116145,-8.754765699070058,8.907250000000001,69.2,13.8,0.5678521609243645,0.0,358445.225,675.8333333333334,0.9,13.766666666666666,68677.5,10.995439514996532,588.9333333333333
11,Забайкальский край,59.3,0.04746013465585791,33.4,21.450000000000003,157319.5,7.2,75.4,352098.43105678994,24875.5,100.69999999999999,4.958765793353431,-5.838765531504412,6.4163499999999996,9.5,17.1,0.9134922809902256,1.5903,337103.05,219.5666666666667,1.8,23.3,67719.95,12.377275806974255,512.4
12,Ивановская область,47.5,0.048277711220557094,47.5,14.225000000000001,169028.5,5.0,78.95,383362.05168884096,25358.5,97.875,2.3495152794004452,-1.1755003737190004,6.7513000000000005,6.7,18.1,0.37550042083642965,0.5360000000000001,240565.15,272.6333333333333,1.5,2.966666666666667,88113.7,8.547630666101199,592.7333333333333
13,Иркутская область,51.5,0.03801270811697333,41.5,17.775,151045.5,7.0,83.5,999041.0278969537,25454.5,100.725,3.755447273145365,-2.310027065048179,6.91155,17.45,16.3,0.7191596355536884,1.9608,603108.65,226.13333333333333,1.6,5.033333333333333,97599.6,12.332259812798348,558.4333333333333
14,Кабардино-Балкарская Республика,57.4,0.038385489015256354,35.9,24.325,150048.25,6.7,52.85,101050.27490648226,21168.75,99.02499999999999,5.9713967498169485,-2.082052013203454,0.8677,10.3,18.9,0.5809467931275034,0.0,193471.1,95.83333333333333,0.5,4.1,45707.2,12.280470357888406,253.5
15,Калининградская область,64.8,0.04930474058823809,29.1,13.6,173069.25,6.1,80.9,1241462.2550386568,28098.5,100.77499999999999,2.6729676623471215,10.750936226945967,6.885199999999999,5.25,15.6,0.32374856600499297,0.0,497764.975,390.8,1.9,0.0,76454.25,9.978328439149566,482.0
16,Калужская область,50.4,0.034169571699275085,31.1,10.075,200915.5,18.4,55.95,1693641.1675990259,30420.0,98.8,2.18388132164932,2.3163503133820176,7.40855,6.4,15.5,0.4495354471049917,0.0,513323.6,111.60000000000001,0.2,4.6,73392.3,9.729661738572569,486.59999999999997
17,Камчатский край,51.5,0.1065161662129131,42.6,15.525,188137.5,5.9,62.8,1088305.9820750782,50531.25,102.67500000000001,2.4005882236044593,-1.4649947338089466,9.75045,7.1499999999999995,15.9,0.49119493467107367,4.466,848223.125,295.93333333333334,3.0,8.333333333333334,79468.65,10.89803461775402,600.5666666666667
18,Карачаево-Черкесская Республика,65.5,0.04560506656193597,27.6,23.125,82989.25,6.9,26.6,185675.89123030665,18438.25,98.375,5.805256708237027,-1.9427758355384723,2.0657,5.7,18.3,0.5275517097178886,1.9828999999999999,191652.72499999998,114.66666666666667,2.6,0.0,66186.2,10.918389465122319,217.03333333333333
19,Кемеровская область,55.8,0.04033222952186934,39.7,13.899999999999999,143924.75,4.5,42.0,1242498.9589776513,23906.5,100.19999999999999,3.0943110039642017,-1.7517041764163388,6.4527,13.45,16.3,0.3822066832734852,0.5085000000000001,421738.525,406.43333333333334,1.0,4.233333333333333,86666.6,9.45553259919982,561.7333333333335
20,Кировская область,55.7,0.05440916829714765,40.8,14.8,155199.25,3.4,52.099999999999994,439744.70292887685,22959.5,99.125,2.628471691477313,-2.4640698879895284,8.0495,4.0,14.9,0.5439365106083205,0.9234000000000001,285374.475,93.86666666666667,2.5,21.7,75074.95,9.447036491133165,466.4333333333334
21,Костромская область,53.5,0.06518006676468395,39.9,12.8,165220.75,6.6,64.45,548231.8412666321,24718.5,98.175,2.392537780044986,-1.932764614483323,7.54375,9.55,14.5,0.648195932376221,0.0,304832.425,160.53333333333333,1.5,16.933333333333334,74140.05,9.487017262569898,442.2
22,Краснодарский край,53.8,0.025379963838663082,39.3,10.5,249310.0,6.9,20.05,410194.9179302644,35071.5,99.975,2.6646739616950117,6.755026277374469,5.07335,4.05,18.1,0.40867898533395675,0.7852,448148.3,137.96666666666667,1.2,5.466666666666666,66145.15,11.159761227433723,308.6333333333334
23,Красноярский край,59.4,0.04255104755197036,35.8,17.25,190836.75,4.8,73.85,1570321.5232805137,30851.25,100.60000000000001,2.725355438297979,-0.02479969029102567,5.37995,16.45,16.6,0.5141670580570743,1.2567,850749.55,182.86666666666667,1.8,11.533333333333333,78460.95000000001,11.16673493107731,594.2666666666667
24,Курганская область,58.2,0.053844801433164176,39.4,19.55,139047.25,2.4,81.05,334001.5495581901,21039.5,97.3,3.7512869948740346,-4.68955497122873,5.3168500000000005,27.55,16.7,0.6918680081415716,0.1305,269786.7,158.70000000000002,3.2,12.266666666666667,94560.95,9.890486813527122,868.9
25,Курская область,59.2,0.04922256443267398,34.2,10.0,195529.0,6.5,51.75,635321.5946132983,28080.5,99.47500000000001,2.1599490602648266,1.1078448405874433,4.83475,4.4,17.1,0.7316830413625086,0.7636000000000001,425976.02499999997,162.33333333333334,0.6,0.0,54176.85,8.87624435879069,386.7
